"utm_source","utm_medium","utm_campaign","leads_count"
yandex,cpc,freemium,103
yandex,cpc,prof-frontend,78
yandex,cpc,prof-python,62
yandex,cpc,prof-java,49
vk,cpc,freemium-frontend,45
vk,cpc,prof-python,41
yandex,cpc,base-frontend,40
vk,cpc,base-python,36
yandex,cpc,base-python,31
vk,cpc,prof-data-analytics,30
